Number_of_Tellers,Arrival_Interval,Service_Time_Avg,Average_Wait_Time
3,7.533450674076059,6.601456351819648,0.22637227575664953
3,7.052033182337388,12.50150036448979,0.8777076582823938
3,7.1924279527700605,5.057894647387378,0.0051387696224830925
2,5.814696373025553,5.596230806998637,1.4257152848155925
1,4.419830796348761,11.235890713172537,158.693645640136
3,4.785084711907773,11.51345810805756,10.193867619893746
1,4.782486216195732,11.698852332589869,137.19721028677648
2,8.453235161127655,5.799656081511077,1.3379428031127465
1,2.4532700902329587,14.327717899585924,128.07747612813725
4,7.057982060485336,11.427453868493163,0.21815967569478428
2,2.410024237288975,13.864232036490526,136.97538016491268
5,6.919512768117141,5.665118774653552,0.0
2,5.094220866534267,8.231776342920856,5.080503000250564
4,5.019867960566215,5.15273733554869,0.1468436653319933
1,9.093133679034125,12.830788948081478,129.17649966241262
2,3.3290759158789367,11.210721972366303,105.69514231417806
5,5.956757684160333,9.988160115082437,0.0
4,4.3897243818507885,14.100374533679352,8.89447307238587
2,6.917084024309252,7.306482922193633,1.1703247364107876
2,4.653248031920553,8.116523886003447,14.161557271324474
5,3.75097696261109,11.207484966279312,2.285063333554646
5,3.337154248798142,14.185587909768469,2.3745363222480718
5,7.915743511564004,8.774972115451018,0.008299905320062898
5,5.6627201977728,11.270745880747057,0.1845644129649391
3,5.733546191291032,13.653855945907546,11.111724511768665
1,9.505126935555797,8.476403908359675,13.114721468508394
5,4.017324280303702,14.05498939561279,1.772746289200888
4,9.939727395141098,12.507480122754687,0.15089805541851434
2,6.57159188670908,14.84573786635237,49.02974755271039
1,8.76791649758043,10.44624866571119,121.1705842011061
4,3.310858361261343,6.699963787354596,0.43569365659958936
4,3.935242336042001,9.501555900098325,0.45443907669216016
4,5.348726731766029,13.001001660352962,4.925378682778758
4,6.064877750996456,6.167815760479298,0.04315988402741612
4,9.932554807705824,11.124991368389768,0.0070356455442937005
2,4.675491152740663,12.196465217854136,88.14483595185683
2,4.571397423993553,7.228181532393477,12.262042258500763
1,3.8931240328286902,11.585162466192497,70.40221567809918
3,8.149835186845596,8.345251180146699,1.0911959103765012
2,5.486128829920168,8.60397467024314,9.085705207394897
3,7.608736386988973,9.7469461358018,0.054758343285996845
1,4.931899153387928,6.6844350683157305,84.38100755811124
1,4.729987620809461,7.611559227901525,166.62649382963377
4,7.945330461324051,7.373123024612777,0.1250408550106289
4,9.686413157018947,13.838464435634947,0.5639576183979442
5,2.9742911953245503,6.407338368985299,0.44425573874108637
3,7.776252839295641,7.143873726057418,0.09858704094254825
5,8.113518489402246,14.79842200232488,0.29943621039387575
4,3.2673795161983135,11.54645585437498,1.4053793280594928
4,3.48342477518739,5.430811826808388,0.5771102220847727
4,5.999699401060608,13.354120227433505,0.19044571994552054
1,9.619385309159897,7.661357637780295,18.921040360526604
5,6.720201748952593,11.09678981535755,0.0
5,7.623576004133573,13.957607706661602,0.24833495019860116
1,3.8517268071835735,14.549594224750091,226.587585029689
5,3.427622712131889,9.704222498542858,0.4851304692643983
5,4.120767827886906,8.479067343410694,0.4780475272006828
2,7.718095884072899,11.248510489962438,4.346913803423368
2,5.642873031846737,9.085457284295526,6.323154413957182
1,6.177112369790283,8.877999280767819,126.75868812680952
3,3.8407298892190145,6.394909830912638,1.4837080728998824
1,4.531101334262463,6.882487812978089,120.20054043657612
3,4.664600270153508,8.11408208234692,1.9525283816931578
5,6.507092041189084,14.185254266869743,0.07582008792046914
4,4.754476861138753,11.862032318271872,0.9683121256960565
4,8.791708315644069,13.162032205411142,0.7090382944149245
3,9.890742203009232,9.777349420885407,0.0
2,2.49099736500089,12.46685942838657,134.86436206172618
4,9.043145613975154,10.887826900513645,0.0
3,7.66849394558055,12.748526224608996,1.6393591761496547
5,5.107198354037149,10.027408977520178,0.0
3,3.2650314616727636,13.53000636025044,58.31081412180788
2,5.11292124928389,5.919481493018859,2.358323756819173
1,9.302103453354782,5.895930853842098,4.584817142185127
4,7.341563428563338,7.5003994551433575,0.059974738682468526
2,4.319039750715659,14.996565602192007,110.5865806182711
3,3.372337598541388,13.573477518048856,19.049117985050735
3,6.799009725072393,10.417313700984735,1.2519083762999785
4,5.476503059167902,10.408483893366022,0.19786030260661194
1,6.744449676571783,11.972884860264609,81.6770057692415
4,5.894212366089118,5.8793833776002336,0.0003053900353440679
1,7.371722317606638,11.90938303482205,99.31737105279474
5,9.464099621338008,7.948313445051642,0.0
5,7.0021443456789605,6.106633524115962,0.0
1,6.257955332529292,9.609987531623329,100.31290925719358
2,5.476658580578137,13.683292231249528,25.65459397802411
2,4.767786483921014,9.445207269255274,32.23467836613764
3,4.432961651860046,5.272677994715181,0.15820193684742218
1,4.990168053686757,7.646933050691757,79.77603009270132
2,4.975346648875771,12.228474130401601,49.52658674783039
5,7.2273962947160015,7.554346403792197,0.0
3,4.284429131264966,10.094768430506974,3.370326625262334
5,4.438213080662191,12.940786794733468,1.547178311044826
1,4.503302470731106,9.315750716391493,91.06439256351686
4,5.904545227238504,7.231924811708556,0.17398460241800356
2,4.500470864941165,8.775241073213856,30.643610461698366
3,4.054338378605146,11.139975909537561,14.674538271280088
4,2.986944722927591,12.908866395280592,7.157315219333948
1,4.670691360453729,8.790193534502254,127.06791971407844
2,5.894673639264024,7.231907816995555,1.2166815604319265
3,3.178456036136674,7.557638766829075,1.9876045357113474
4,3.033245818545625,11.153401806496175,18.28775797389796
5,3.826518415551309,11.320847647282372,4.212475892681813
5,8.269967577766312,10.747927263669393,0.0009878919769693625
3,4.849191264324616,5.043096686538609,0.02885605508339391
5,7.795835495637016,5.147965027591811,0.0
2,6.992981693607116,10.360386374657317,7.3119790504342
3,8.549220722236951,8.781894980027776,0.1256852369557485
1,9.463643271466674,14.459667309812614,78.61332775114855
2,8.4605955574169,13.234926026895987,7.982589875883947
1,8.296144437155768,7.139787230850265,6.2236541624769774
4,5.1544797556053705,11.390743959021563,0.3031361187290231
1,5.347315968356807,6.134029275417312,19.668201782498947
3,9.048097883359107,9.312884449655446,0.8026464115982846
1,2.0498983970109945,13.31066768793394,179.2925835495621
5,3.1944668424355624,12.270925423321334,4.036150937727823
5,9.780965480460898,8.11793850704158,0.0
1,7.66802644496391,14.007684279077843,118.736713899086
4,8.168175893191528,6.3700991187112646,0.0
2,9.789620374121345,6.96262390087054,0.7394051914958136
