Model,MSE,RMSE,MAE,R2
LinearRegression,1063.7589078958972,32.615317074894385,26.558294031220257,0.5616614442772216
RandomForest,246.9728276605531,15.715369154447282,8.083613711163071,0.8982309696530486
GradientBoosting,324.89498859172926,18.024843649577914,10.501959640337404,0.8661219201044714
SVR,1876.1288045053982,43.31430253975467,21.642059941353736,0.22691167668484558
DecisionTree,389.7621612581537,19.742395023354025,10.310678657674517,0.8393923833933173
KNN,281.28625806470313,16.7715908030426,8.932412026059357,0.8840915820403047
AdaBoost,590.6367608554369,24.303019583077262,20.084796255425843,0.7566188515194189
ExtraTrees,251.7055566996945,15.865231063545671,8.408869712900186,0.8962807743632645
