Model,MSE,RMSE,MAE,R2,Topsis Score,Rank
LinearRegression,1063.7589078958972,32.615317074894385,26.558294031220257,0.5616614442772216,0.40106498752010017,7
RandomForest,246.9728276605531,15.715369154447282,8.083613711163071,0.8982309696530486,1.0,1
GradientBoosting,324.89498859172926,18.024843649577917,10.501959640337404,0.8661219201044714,0.9239235749033708,4
SVR,1876.1288045053984,43.31430253975467,21.642059941353736,0.2269116766848455,0.10783705498551717,8
DecisionTree,389.7621612581537,19.742395023354025,10.310678657674517,0.8393923833933173,0.8941785329512595,5
KNN,281.28625806470313,16.7715908030426,8.932412026059357,0.8840915820403047,0.9695725754234179,3
AdaBoost,590.6367608554369,24.303019583077266,20.084796255425843,0.7566188515194189,0.6679792871858354,6
ExtraTrees,251.7055566996945,15.865231063545671,8.408869712900186,0.8962807743632645,0.99172503714179,2
